STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
33,013,003201,5064,+43.146871,-071.459599
33,013,003202,2143,+43.183300,-071.443472
33,013,030000,3005,+43.103890,-071.607462
33,013,031001,4249,+43.129861,-071.518424
33,013,031002,3980,+43.143578,-071.570370
33,013,032100,3766,+43.186351,-071.540296
33,013,032200,2728,+43.196649,-071.534650
33,013,032300,1763,+43.204040,-071.541075
33,013,032400,3237,+43.211149,-071.542531
33,013,032500,3802,+43.195085,-071.568219
33,013,032600,4917,+43.228985,-071.560889
33,013,032701,1548,+43.268482,-071.616432
33,013,032706,3889,+43.266416,-071.581415
33,013,032800,5182,+43.252867,-071.528091
33,013,032900,4345,+43.220693,-071.503540
33,013,033000,2665,+43.255118,-071.402515
33,013,034000,4834,+43.214801,-071.349302
33,013,035000,4075,+43.300053,-071.319327
33,013,036000,5576,+43.305176,-071.459692
33,013,037000,2389,+43.347922,-071.549404
33,013,038000,3998,+43.315796,-071.634477
33,013,038500,4850,+43.286989,-071.771336
33,013,039000,5914,+43.206536,-071.696391
33,013,040000,6185,+43.178143,-071.816871
33,013,040501,1662,+43.254393,-071.960738
33,013,040502,4150,+43.330890,-071.979091
33,013,041001,1813,+43.411288,-072.011578
33,013,041002,2587,+43.415607,-071.970085
33,013,041500,3674,+43.491729,-071.846653
33,013,042500,3828,+43.422718,-071.769388
33,013,043001,4242,+43.434694,-071.646976
33,013,043002,4499,+43.457126,-071.652630
33,013,044000,4872,+43.422595,-071.584838
33,013,044100,3694,+43.203649,-071.505664
33,013,044200,6614,+43.069564,-071.429136
33,013,044300,5105,+43.259625,-071.597937
33,015,003301,4590,+42.912284,-071.272779
33,015,003302,4856,+42.916454,-071.326619
33,015,003400,5735,+42.891094,-071.321014
33,015,003500,5974,+42.878987,-071.318073
33,015,003601,7152,+42.863237,-071.306826
33,015,003602,6010,+42.875133,-071.243620
33,015,003701,4099,+42.876417,-071.365954
33,015,003703,5892,+42.915744,-071.378262
33,015,003801,4047,+42.872276,-071.389736
33,015,003802,4236,+42.860918,-071.413197
33,015,003901,4205,+42.843784,-071.351187
33,015,003902,3341,+42.823023,-071.371410
33,015,004000,5946,+42.992303,-071.342244
33,015,050000,4013,+43.057849,-071.306337
33,015,051000,5232,+42.968394,-071.241005
33,015,052000,6548,+42.933132,-071.186263
33,015,053000,4408,+42.924640,-071.121506
33,015,054000,4739,+42.987448,-071.123939
33,015,055001,6263,+43.020093,-071.204867
33,015,055002,4421,+43.044971,-071.175719
33,015,056000,4855,+43.135932,-071.257543
33,015,057000,4641,+43.212271,-071.207387
33,015,058000,5229,+43.130721,-071.100764
33,015,059000,7125,+43.046600,-071.080727
33,015,060000,4490,+42.988116,-071.049399
33,015,061001,6903,+42.986775,-070.972856
33,015,062000,2441,+42.926180,-071.006836
33,015,062500,2989,+42.914369,-070.953327
33,015,063001,3466,+42.892534,-070.889114
33,015,063003,4017,+42.878827,-070.854248
33,015,063004,918,+42.884095,-070.818189
33,015,064000,2403,+42.926764,-070.886719
33,015,065005,2621,+42.933679,-070.807330
33,015,065006,1762,+42.945529,-070.798060
